order_id,customer_id,product_id,product_category_name_english,price,freight_value,TotalPrice,order_purchase_timestamp
610883752a98dcefa38fa9715c6b1e84,5fa7cd781c9f6a804a129880359ad5af,5da831182fe9ba6ab33ab17bbc5d16c7,sports_leisure,179.0,19.13,198.13,2018-04-09 18:32:37
0ad9d4e4f4c9746b59ddb9c18d30d241,34a015971bd8681dda63a6ac74d6c825,9988437646bfc0cbe0f97d4451cb08fc,home_appliances,100.0,51.42,151.42000000000002,2018-08-02 15:30:52
189ede25eb8522abcbd3592d08811f85,074351a4c7eeaf083d43fe58e0d62dfc,6dde44b4172999f35f08654d06bad633,office_furniture,219.99,60.09,280.08000000000004,2017-08-15 16:02:07
3892e6d2a2c4ac6ff5b68904a08e2099,9bf783bdfc2d399546513a3aaadca64f,42697582a754e573f9e3e9e78752252c,computers_accessories,69.0,18.06,87.06,2018-03-24 12:12:45
1f8956ea49b1eba62dd40aa5f7ac9133,dc855a052cb86604fb4d65498cece939,e2bb00220a167d9e60b6776ac33717bc,watches_gifts,56.0,14.14,70.14,2017-08-18 12:37:40
8b077b8596bc4dddd67331311917d107,6104de8d891cf5373cfd7365b71a2b3f,624b5655a9d76b5a0e7d780dc4733887,telephony,34.99,10.96,45.95,2017-04-03 11:47:47
09944d214dbe0d92666178941a674632,2c94f489b623224edf7fa984b32fd68c,f1c7f353075ce59d8a6f3cf58f419c9c,bed_bath_table,200.0,26.24,226.24,2017-08-17 16:22:45
dae7f9d0e25515e268456f392f53751e,5532be41e9d5c92ba7a6b9c6937d429e,b532349fe46b38fbc7bb3914c1bdae07,furniture_decor,35.0,9.0,44.0,2018-07-19 20:33:49
b7994d35101970f5e1a4621fe05cc1e9,79c07db4dd2ebdf63826672146b15128,2b4609f8948be18874494203496bc318,health_beauty,89.99,9.44,99.42999999999999,2017-11-17 19:48:19
a512132380fbd3ae24feca8ee9512efa,3a9686af66e7ba1291b19d2e41d584ce,368c6c730842d78016ad823897a372db,garden_tools,59.9,19.66,79.56,2017-11-05 10:22:05
b10b4554ed368e8a148a07f34f78097b,d5f31990b4f54682ef990f6d69a82453,9a2e821cfc513051382e27606ab3325c,stationery,79.0,28.95,107.95,2018-01-03 12:37:55
1272198ea0829564b49fe8bb6ad3ea27,2d2ad21a86347b86b40390702d660410,c32788bc915b1ce4316822a1b7c4ec91,housewares,47.99,21.36,69.35,2017-07-29 15:38:47
f594ab1eab2b9d5a646c989c1bc5eb3e,d0836b848a9c6d8fe285a19b028df814,53b36df67ebb7c41585e8d54d6772e08,watches_gifts,169.9,15.94,185.84,2017-09-03 21:38:55
26b6a281b9bf31419ec8afa0e1deabca,398feac9dc3771f978377f0bfeedd600,6debe62ce3828652a75c52d11bb012e7,computers_accessories,19.99,12.79,32.78,2018-03-16 16:45:35
af3afcbdb956d1e158a0cb3ebd336d84,0d3de1ee03eac4a173c6fb49f396ecf3,d87815e398ce1204e5981c427c03291f,baby,51.2,18.24,69.44,2018-04-22 14:40:52
38ee0413fc5a49c0c2eab6864776bf2b,6093facc8a1c13bd8499e221125e9d59,5a11bc271d03e7a31cdd33d1d8580456,sports_leisure,309.0,16.92,325.92,2017-06-13 12:22:32
438f8c9a0abdfdd3401b52e89084c612,9f5d8c4f6c4ca201d03d3a9d50704f9a,508d5e8ce8e79bb506f9f0c096b295c4,office_furniture,86.96,26.11,113.07,2017-02-13 18:50:16
a7982d7c8e5f1fde0c06a1e958487a19,5f2722a842f2c4139075f98f810e0cd5,3bf95cf337a8c87435a2949c48350fc7,health_beauty,91.49,13.66,105.14999999999999,2017-12-05 11:54:47
